pdb_id,resolution,year,assay_type,comparison_sign,value_raw,unit_raw,value_M,value_nM,p_value,log10_nM,ligand_id,ligand_path,pocket_path,comment
1zj7,,,Ki,=,0.15,nM,1.5e-10,0.15,9.823908740944319,-0.8239087409443188,,src/data/scPDB 2/1zj7_1/ligand.sdf,src/data/scPDB 2/1zj7_1/site.mol2,bindingdb_scpdb
2j3j,,,Ki,=,1000000.0,nM,0.001,1000000.0,3.0,6.0,,src/data/scPDB 2/2j3j_1/ligand.sdf,src/data/scPDB 2/2j3j_1/site.mol2,bindingdb_scpdb
3uba,,,Ki,=,1000000.0,nM,0.001,1000000.0,3.0,6.0,,src/data/scPDB 2/3uba_1/ligand.sdf,src/data/scPDB 2/3uba_1/site.mol2,bindingdb_scpdb
1l5f,,,Ki,=,138000.0,nM,0.00013800000000000002,138000.0,3.860120913598763,5.139879086401237,,src/data/scPDB 2/1l5f_1/ligand.sdf,src/data/scPDB 2/1l5f_1/site.mol2,bindingdb_scpdb
3huk,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3huk_1/ligand.sdf,src/data/scPDB 2/3huk_1/site.mol2,bindingdb_scpdb
3rnm,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3rnm_1/ligand.sdf,src/data/scPDB 2/3rnm_1/site.mol2,bindingdb_scpdb
2iu8,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2iu8_1/ligand.sdf,src/data/scPDB 2/2iu8_1/site.mol2,bindingdb_scpdb
2x8h,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2x8h_1/ligand.sdf,src/data/scPDB 2/2x8h_1/site.mol2,bindingdb_scpdb
1rx6,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1rx6_1/ligand.sdf,src/data/scPDB 2/1rx6_1/site.mol2,bindingdb_scpdb
1rx3,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1rx3_1/ligand.sdf,src/data/scPDB 2/1rx3_1/site.mol2,bindingdb_scpdb
1rx8,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1rx8_2/ligand.sdf,src/data/scPDB 2/1rx8_2/site.mol2,bindingdb_scpdb
3frz,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3frz_1/ligand.sdf,src/data/scPDB 2/3frz_1/site.mol2,bindingdb_scpdb
1geg,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1geg_5/ligand.sdf,src/data/scPDB 2/1geg_5/site.mol2,bindingdb_scpdb
4x5i,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4x5i_1/ligand.sdf,src/data/scPDB 2/4x5i_1/site.mol2,bindingdb_scpdb
3sjz,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3sjz_1/ligand.sdf,src/data/scPDB 2/3sjz_1/site.mol2,bindingdb_scpdb
4nx6,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4nx6_1/ligand.sdf,src/data/scPDB 2/4nx6_1/site.mol2,bindingdb_scpdb
4lv5,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4lv5_1/ligand.sdf,src/data/scPDB 2/4lv5_1/site.mol2,bindingdb_scpdb
3qyz,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3qyz_1/ligand.sdf,src/data/scPDB 2/3qyz_1/site.mol2,bindingdb_scpdb
1ryd,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1ryd_1/ligand.sdf,src/data/scPDB 2/1ryd_1/site.mol2,bindingdb_scpdb
3t11,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3t11_2/ligand.sdf,src/data/scPDB 2/3t11_2/site.mol2,bindingdb_scpdb
1ha3,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1ha3_2/ligand.sdf,src/data/scPDB 2/1ha3_2/site.mol2,bindingdb_scpdb
4jy2,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4jy2_2/ligand.sdf,src/data/scPDB 2/4jy2_2/site.mol2,bindingdb_scpdb
1ra3,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1ra3_2/ligand.sdf,src/data/scPDB 2/1ra3_2/site.mol2,bindingdb_scpdb
2qhc,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2qhc_1/ligand.sdf,src/data/scPDB 2/2qhc_1/site.mol2,bindingdb_scpdb
4htf,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4htf_2/ligand.sdf,src/data/scPDB 2/4htf_2/site.mol2,bindingdb_scpdb
1n6l,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1n6l_1/ligand.sdf,src/data/scPDB 2/1n6l_1/site.mol2,bindingdb_scpdb
2he5,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2he5_2/ligand.sdf,src/data/scPDB 2/2he5_2/site.mol2,bindingdb_scpdb
3kfn,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3kfn_1/ligand.sdf,src/data/scPDB 2/3kfn_1/site.mol2,bindingdb_scpdb
3caq,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3caq_1/ligand.sdf,src/data/scPDB 2/3caq_1/site.mol2,bindingdb_scpdb
5eso,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/5eso_3/ligand.sdf,src/data/scPDB 2/5eso_3/site.mol2,bindingdb_scpdb
3pci,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3pci_1/ligand.sdf,src/data/scPDB 2/3pci_1/site.mol2,bindingdb_scpdb
3kfr,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3kfr_1/ligand.sdf,src/data/scPDB 2/3kfr_1/site.mol2,bindingdb_scpdb
3kf0,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3kf0_1/ligand.sdf,src/data/scPDB 2/3kf0_1/site.mol2,bindingdb_scpdb
