epoch,train_loss,val_mae,val_rmse,val_r2,val_rp,val_mae_um,val_rmse_um,val_r2_um,val_rp_um,val_median_fold,val_within_2x,val_within_5x,val_within_10x,lr
1,0.7815,1.4128,1.7668,0.396,0.639,650.3040,2012.7105,-0.110,0.359,15.269,0.1181,0.3113,0.4204,1.0e-04
2,0.5688,1.3644,1.7077,0.436,0.687,648.7026,2002.2956,-0.098,0.356,15.261,0.1342,0.2755,0.4132,1.0e-04
3,0.5072,1.2543,1.5925,0.509,0.715,644.5833,1992.3940,-0.088,0.389,12.445,0.1682,0.3184,0.4580,9.9e-05
4,0.4447,1.2615,1.6017,0.504,0.715,644.2132,1990.6780,-0.086,0.340,12.978,0.1485,0.3685,0.4633,9.8e-05
5,0.4092,1.2082,1.5603,0.529,0.729,642.5800,1990.1242,-0.085,0.405,11.034,0.1878,0.3739,0.4902,9.8e-05
6,0.3602,1.2091,1.5643,0.527,0.730,640.0823,1966.8149,-0.060,0.427,10.672,0.1592,0.3596,0.4955,9.7e-05
7,0.3171,1.1833,1.5472,0.537,0.749,631.3533,1913.4680,-0.003,0.443,8.841,0.1664,0.3649,0.5224,9.5e-05
8,0.2863,1.1565,1.4996,0.565,0.758,632.2594,1920.7837,-0.011,0.418,9.058,0.1664,0.3649,0.5170,9.4e-05
9,0.2503,1.1680,1.5296,0.547,0.762,632.4598,1918.6684,-0.009,0.380,8.140,0.1521,0.3864,0.5474,9.2e-05
10,0.2228,1.1421,1.5281,0.548,0.750,623.3549,1907.7848,0.003,0.386,7.157,0.1950,0.4275,0.5564,9.1e-05
11,0.1988,1.1352,1.4954,0.567,0.762,624.3868,1890.9494,0.020,0.407,7.828,0.1771,0.4114,0.5385,8.9e-05
12,0.1768,1.2181,1.5997,0.505,0.763,622.0804,1921.3387,-0.011,0.400,8.814,0.1664,0.3864,0.5224,8.7e-05
13,0.1692,1.0869,1.4777,0.577,0.791,591.7316,1682.8895,0.224,0.498,6.890,0.2200,0.4383,0.5707,8.4e-05
14,0.1485,1.2391,1.6390,0.480,0.756,616.4984,1902.0806,0.009,0.358,8.526,0.1753,0.3810,0.5242,8.2e-05
15,0.1399,1.1177,1.4861,0.573,0.770,590.6155,1841.6520,0.071,0.362,6.903,0.1878,0.4258,0.5689,8.0e-05
16,0.1208,1.0452,1.4148,0.613,0.789,579.1638,1768.0585,0.144,0.449,6.299,0.2218,0.4490,0.6029,7.7e-05
17,0.1186,1.1217,1.4608,0.587,0.784,591.5114,1776.2795,0.136,0.429,7.465,0.1699,0.4025,0.5742,7.4e-05
18,0.1075,1.0812,1.4983,0.566,0.787,608.8268,1872.3158,0.040,0.412,5.581,0.2111,0.4669,0.5868,7.2e-05
19,0.1077,1.0594,1.4675,0.583,0.793,598.2191,1788.6627,0.124,0.431,5.877,0.2200,0.4597,0.5939,6.9e-05
20,0.1011,1.0719,1.4350,0.602,0.786,585.7337,1795.3967,0.117,0.423,6.456,0.2004,0.4401,0.5742,6.6e-05
21,0.0960,1.1008,1.4741,0.580,0.788,594.8459,1840.0815,0.072,0.365,7.319,0.2111,0.4275,0.5832,6.3e-05
22,0.0847,1.0257,1.4026,0.619,0.795,591.2361,1816.6022,0.096,0.386,5.796,0.2236,0.4633,0.6082,6.0e-05
23,0.0820,1.0825,1.4650,0.585,0.775,589.7831,1862.9602,0.049,0.342,6.330,0.1950,0.4419,0.5975,5.7e-05
24,0.0715,1.0850,1.4585,0.588,0.784,584.4438,1784.9584,0.127,0.432,6.452,0.1878,0.4454,0.5832,5.4e-05
25,0.0705,1.0742,1.4608,0.587,0.778,593.3568,1863.6359,0.049,0.383,5.621,0.2057,0.4776,0.5796,5.0e-05
26,0.0668,1.0521,1.4220,0.609,0.794,583.6353,1789.5495,0.123,0.413,6.187,0.2147,0.4419,0.5850,4.7e-05
27,0.0627,1.0610,1.4553,0.590,0.794,614.2209,1881.6536,0.030,0.432,6.531,0.2182,0.4401,0.6047,4.4e-05
28,0.0591,1.0229,1.4023,0.620,0.793,573.1187,1776.4590,0.135,0.439,5.465,0.2326,0.4669,0.6047,4.1e-05
29,0.0541,1.0265,1.3950,0.623,0.797,577.2737,1778.0893,0.134,0.467,5.327,0.2182,0.4884,0.6047,3.8e-05
30,0.0545,1.0439,1.4029,0.619,0.798,603.8123,1813.6041,0.099,0.406,6.220,0.1950,0.4490,0.6118,3.5e-05
31,0.0494,1.0402,1.4205,0.610,0.793,598.9144,1814.0194,0.099,0.388,5.801,0.2343,0.4615,0.6064,3.2e-05
32,0.0470,0.9934,1.3651,0.639,0.805,592.7141,1806.0215,0.106,0.396,5.299,0.2504,0.4884,0.6190,2.9e-05
33,0.0451,1.0213,1.4079,0.616,0.801,588.1823,1808.7336,0.104,0.435,5.575,0.2469,0.4776,0.6029,2.7e-05
34,0.0421,1.0117,1.3963,0.623,0.798,593.3586,1790.6671,0.122,0.412,5.570,0.2576,0.4741,0.6136,2.4e-05
35,0.0388,1.0139,1.3837,0.630,0.799,593.3273,1787.4941,0.125,0.422,5.310,0.2272,0.4830,0.6154,2.1e-05
36,0.0375,1.0429,1.4116,0.614,0.801,583.1298,1776.1548,0.136,0.465,5.762,0.1932,0.4633,0.6136,1.9e-05
37,0.0359,1.0258,1.4019,0.620,0.799,579.5052,1755.5367,0.156,0.452,5.918,0.2182,0.4562,0.6315,1.7e-05
38,0.0326,1.0161,1.4067,0.617,0.798,594.3507,1809.8384,0.103,0.402,5.477,0.2469,0.4866,0.6136,1.4e-05
39,0.0325,0.9977,1.3791,0.632,0.803,588.9586,1797.7881,0.115,0.411,5.627,0.2576,0.4866,0.6243,1.2e-05
