epoch,train_loss,val_mae,val_rmse,val_r2,val_rp,val_mae_um,val_rmse_um,val_r2_um,val_rp_um,val_median_fold,val_within_2x,val_within_5x,val_within_10x,lr
1,0.7871,1.1618,1.4347,0.421,0.663,175.8247,880.6935,-0.036,0.376,10.674,0.1574,0.3506,0.4902,1.0e-04
2,0.5491,1.1991,1.4839,0.380,0.635,175.7005,873.3752,-0.019,0.412,10.945,0.1377,0.3596,0.4830,1.0e-04
3,0.4757,1.1178,1.4229,0.430,0.672,173.9144,871.6101,-0.015,0.431,7.925,0.1843,0.4079,0.5403,9.9e-05
4,0.4207,1.1474,1.4417,0.415,0.652,173.6439,872.6311,-0.017,0.429,8.867,0.1431,0.3542,0.5206,9.8e-05
5,0.3808,1.1973,1.5218,0.348,0.660,173.0994,869.2796,-0.010,0.458,10.077,0.1717,0.3649,0.4991,9.8e-05
6,0.3455,1.2199,1.5278,0.343,0.644,173.6086,854.9490,0.024,0.515,11.628,0.1717,0.3435,0.4794,9.7e-05
7,0.3115,1.2130,1.5290,0.342,0.680,173.7253,869.9675,-0.011,0.317,9.467,0.1592,0.3739,0.5098,9.5e-05
8,0.2702,1.1446,1.4533,0.405,0.648,174.1936,869.3937,-0.010,0.331,9.162,0.1592,0.3649,0.5170,9.4e-05
9,0.2342,1.1754,1.5027,0.364,0.636,174.4837,864.8221,0.001,0.366,9.234,0.1699,0.3864,0.5206,9.2e-05
10,0.2106,1.2350,1.5978,0.281,0.658,172.2776,869.8504,-0.011,0.304,8.870,0.1485,0.3792,0.5188,9.1e-05
11,0.1916,1.1360,1.4486,0.409,0.658,172.8220,852.7556,0.029,0.334,8.059,0.1592,0.3864,0.5349,8.9e-05
12,0.1716,1.1491,1.4863,0.378,0.665,173.3377,867.6574,-0.006,0.232,8.525,0.1717,0.3936,0.5259,8.7e-05
13,0.1577,1.1560,1.4695,0.392,0.664,171.1930,832.2292,0.075,0.427,8.700,0.1556,0.3649,0.5277,8.4e-05
14,0.1441,1.1411,1.4858,0.379,0.665,172.5463,852.5095,0.029,0.329,8.313,0.1860,0.4079,0.5438,8.2e-05
15,0.1338,1.1224,1.4534,0.405,0.655,172.2042,848.6161,0.038,0.309,8.698,0.1843,0.4007,0.5206,8.0e-05
16,0.1275,1.1321,1.4630,0.397,0.666,170.0718,832.6941,0.074,0.459,8.654,0.1896,0.3918,0.5420,7.7e-05
17,0.1210,1.1770,1.5514,0.322,0.671,171.7893,855.6353,0.022,0.349,8.321,0.1860,0.4007,0.5242,7.4e-05
18,0.1112,1.1073,1.4522,0.406,0.666,170.3085,831.7483,0.076,0.449,7.370,0.2004,0.4240,0.5581,7.2e-05
19,0.1089,1.1182,1.4564,0.403,0.669,169.9581,838.9638,0.060,0.442,7.631,0.1682,0.4132,0.5510,6.9e-05
20,0.1040,1.1008,1.4392,0.417,0.665,170.6460,840.9681,0.055,0.459,7.142,0.1735,0.4114,0.5510,6.6e-05
21,0.0902,1.1975,1.5859,0.292,0.662,170.3922,845.1830,0.046,0.445,8.575,0.1896,0.3864,0.5277,6.3e-05
22,0.0893,1.1456,1.4665,0.395,0.656,169.8824,829.5184,0.081,0.378,8.397,0.1646,0.3739,0.5313,6.0e-05
23,0.0807,1.1177,1.4476,0.410,0.667,172.6572,852.6978,0.029,0.345,8.495,0.1896,0.3846,0.5367,5.7e-05
24,0.0756,1.1702,1.5057,0.362,0.647,170.2852,830.8421,0.078,0.458,8.435,0.1503,0.3953,0.5206,5.4e-05
25,0.0728,1.1602,1.5237,0.346,0.656,171.7893,854.3593,0.025,0.366,8.593,0.1646,0.3989,0.5313,5.0e-05
26,0.0646,1.1250,1.4548,0.404,0.661,172.1806,847.5664,0.040,0.345,7.658,0.1717,0.4061,0.5492,4.7e-05
27,0.0648,1.1230,1.4483,0.410,0.665,169.0079,820.1607,0.101,0.452,7.953,0.1735,0.3792,0.5564,4.4e-05
28,0.0620,1.1210,1.4429,0.414,0.670,168.0791,824.2728,0.092,0.453,7.510,0.1574,0.4061,0.5546,4.1e-05
29,0.0547,1.1568,1.4854,0.379,0.657,165.8315,810.5522,0.122,0.476,8.900,0.1538,0.3918,0.5259,3.8e-05
30,0.0546,1.1412,1.4778,0.385,0.664,170.5142,842.1810,0.052,0.397,8.521,0.1771,0.4097,0.5349,3.5e-05
31,0.0503,1.1208,1.4497,0.408,0.664,166.5509,820.0637,0.102,0.486,8.206,0.1717,0.3918,0.5474,3.2e-05
32,0.0486,1.1039,1.4268,0.427,0.667,166.4234,815.6570,0.111,0.503,8.270,0.1825,0.4043,0.5456,2.9e-05
33,0.0437,1.1399,1.4670,0.394,0.662,163.4433,785.0888,0.177,0.517,8.696,0.1717,0.3882,0.5277,2.7e-05
34,0.0426,1.1172,1.4350,0.420,0.663,165.5611,806.9203,0.130,0.499,7.718,0.1610,0.3864,0.5510,2.4e-05
35,0.0387,1.1274,1.4545,0.404,0.662,164.7958,798.8821,0.147,0.524,7.524,0.1682,0.3918,0.5438,2.1e-05
